2025-03-23 13:59:50 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory -Hibernate is in classpath; If applicable, HQL parser will be used.
2025-03-23 13:59:51 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration -spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-03-23 13:59:52 [main] WARN  o.s.s.c.a.web.builders.WebSecurity -You are asking Spring Security to ignore Deferred [Mvc [pattern='/configuration/ui'], Ant [pattern='/configuration/ui']]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2025-03-23 13:59:52 [main] WARN  o.s.s.c.a.web.builders.WebSecurity -You are asking Spring Security to ignore Deferred [Mvc [pattern='/swagger-resources/**'], Ant [pattern='/swagger-resources/**']]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2025-03-23 13:59:52 [main] WARN  o.s.s.c.a.web.builders.WebSecurity -You are asking Spring Security to ignore Deferred [Mvc [pattern='/configuration/security'], Ant [pattern='/configuration/security']]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2025-03-23 13:59:52 [main] WARN  o.s.s.c.a.web.builders.WebSecurity -You are asking Spring Security to ignore Deferred [Mvc [pattern='/swagger-ui.html'], Ant [pattern='/swagger-ui.html']]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2025-03-23 13:59:52 [main] WARN  o.s.s.c.a.web.builders.WebSecurity -You are asking Spring Security to ignore Deferred [Mvc [pattern='/webjars/**'], Ant [pattern='/webjars/**']]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2025-03-23 13:59:52 [main] INFO  o.a.coyote.http11.Http11NioProtocol -Starting ProtocolHandler ["http-nio-8080"]
2025-03-23 13:59:52 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat started on port 8080 (http) with context path '/'
2025-03-23 13:59:52 [main] INFO  c.e.project.SbEcomApplication -Started SbEcomApplication in 13.411 seconds (process running for 14.284)
2025-03-23 14:00:14 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-03-23 14:00:14 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet -Initializing Servlet 'dispatcherServlet'
2025-03-23 14:00:14 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet -Completed initialization in 6 ms
2025-03-23 14:00:14 [http-nio-8080-exec-2] ERROR c.e.p.security.jwt.AuthEntryPointJwt -Unauthorized error : Full authentication is required to access this resource
2025-03-23 14:35:16 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -Closing JPA EntityManagerFactory for persistence unit 'default'
2025-03-23 14:35:16 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Shutdown initiated...
2025-03-23 14:35:16 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Shutdown completed.
